Name,Nickname,Weight Class,Record,Knockouts,Submissions,First Round Finishes,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Assuncao,None,Featherweight Division,14-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphael Assunção,None,Bantamweight Division,28-9-0 (W-L-D),4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich Attonito,"""The Raging Bull""",Welterweight Division,10-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivier Aubin-Mercier,"""The Canadian Gangster""",Lightweight Division,12-5-0 (W-L-D),1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Audinwood,"""Awesomely Awesome""",Lightweight Division,9-2-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Augusto,None,Light Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Augusto Leleco,None,Middleweight Division,11-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Aurelio,"""Maximus""",Lightweight Division,18-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Avila,"""Raging Panda""",Women's Bantamweight Division,9-2-0 (W-L-D),4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Avila,None,Featherweight Division,5-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessin Ayari,None,Lightweight Division,16-6-0 (W-L-D),3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Azaitar,"""Captain Morocco""",Middleweight Division,14-3-1 (W-L-D),7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottman Azaitar,"""Bulldozer""",Lightweight Division,13-1-0 (W-L-D),10,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Azure,None,Bantamweight Division,9-2-0 (W-L-D),3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Backstrom,None,Featherweight Division,8-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Baczynski,"""Polish Pistola""",Welterweight Division,18-11-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Bader,"""Darth""",Light Heavyweight Division,22-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Izabela Badurek,None,Women's Strawweight Division,5-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Baeza,"""Caramel Thunder""",Welterweight Division,10-3-0 (W-L-D),7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Bagautinov,"""Puncher""",Flyweight Division,14-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehdi Baghdad,"""The Sultan""",Lightweight Division,11-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Melsik Baghdasaryan,None,Featherweight Division,7-1-0 (W-L-D),5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Siyar Bahadurzada,"""The Great""",Welterweight Division,24-8-1 (W-L-D),14,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ignacio Bahamondes,"""La Jaula""",Lightweight Division,13-4-0 (W-L-D),9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamar Bailey,None,Lightweight Division,12-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Baker,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oluwale Bamgbose,"""Holy War Angel""",Middleweight Division,6-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Bandel,"""Bomba""",Lightweight Division,13-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Humberto Bandenay,None,Featherweight Division,14-7-0 (W-L-D),5,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tae Hyun Bang,"""The Korean Cowboy""",Lightweight Division,18-10-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Banuelos,None,Bantamweight Division,19-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Renan Barao,"""The Baron""",Bantamweight Division,36-9-0 (W-L-D),8,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Maycee Barber,"""The Future""",Women's Flyweight Division,11-2-0 (W-L-D),5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Barberena,"""Bam Bam""",Welterweight Division,18-9-0 (W-L-D),11,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Edson Barboza,"""Junior""",Featherweight Division,22-11-0 (W-L-D),13,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Raoni Barcelos,None,Bantamweight Division,17-4-0 (W-L-D),8,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Baretto,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Barez,None,Flyweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Barnatt,"""The Bigslow""",Middleweight Division,8-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shonte Barnes,"""Shyne""",Middleweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
James Barnes,"""Mooka""",Bantamweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Barnett,"""Beastboy""",Heavyweight Division,23-8-0 (W-L-D),18,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Barnett,"""The Warmaster""",Heavyweight Division,35-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
David Baron,None,Lightweight Division,14-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Baroni,"""New York Bad Ass""",Middleweight Division,13-13-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Barrera,None,Welterweight Division,1-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Barrett,"""Slippery""",Featherweight Division,11-5-0 (W-L-D),7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Andre Barriault,"""Powerbar""",Middleweight Division,14-5-0 (W-L-D),9,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Barros,"""Baixinho""",Welterweight Division,13-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Francimar Barroso,"""Bodao""",Light Heavyweight Division,19-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Barry,"""The Sniper""",Welterweight Division,4-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Barry,"""HD""",Heavyweight Division,8-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrique Barzola,"""El Fuerte""",Bantamweight Division,17-5-2 (W-L-D),5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Javid Basharat,"""The Snow Leopard""",Bantamweight Division,14-0-0 (W-L-D),5,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Basharat,None,Bantamweight Division,9-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
